"title","author","year_pub","provider","country","crop","uri","curi","nuri"
"Dataset for: SET1. Participatory Varietal Selection of Late Blight Resistant Potato Clones","Gastelo, Manuel","2020","CIP","PER","potato","https://doi.org/10.21223/JBIBBT","doi_10.21223_JBIBBT",NA
"Dataset for: Stability analysis for nutritional contents (minerals) on 40 native potato cultivars","Salas, Elisa","2017","CIP","PER","potato","https://doi.org/10.21223/P3/SVHUCG","doi_10.21223_P3_SVHUCG",NA
"Dataset for: Stability analysis for nutritional contents (Vitamin C) on 40 native potato cultivars","Salas, Elisa","2017","CIP","PER","potato","https://doi.org/10.21223/P3/NIZ8AG","doi_10.21223_P3_NIZ8AG",NA
"Dataset for: Trait Observation Network (TON) Panel Advanced potato clones","Gastelo, Manuel","2020","CIP","PER","potato","https://doi.org/10.21223/6TRC9T","doi_10.21223_6TRC9T",NA
"Dataset for: yield and stability advanced trial for late blight and heat tolerant (LBHT) potato population conducted in Huancayo, Peru","Kante, Moctar","2022","CIP","PER","potato","https://doi.org/10.21223/SBHNHD","doi_10.21223_SBHNHD",NA
"Dataset for: yield and stability advanced trial for late blight and heat tolerant (LBHT) potato population conducted in Huanuco, Peru","Kante, Moctar","2022","CIP","PER","potato","https://doi.org/10.21223/E9STDZ","doi_10.21223_E9STDZ",NA
"Dataset for: yield and stability advanced trial for late blight and heat tolerant (LBHT) potato population conducted in Oxapampa, Peru","Kante, Moctar","2022","CIP","PER","potato","https://doi.org/10.21223/64DNHF","doi_10.21223_64DNHF",NA
"Dataset for: yield and stability advanced trial for late blight and heat tolerant (LBHT) potato population conducted in San RamÃ³n, Peru","Kante, Moctar","2022","CIP","PER","potato","https://doi.org/10.21223/BMWFX2","doi_10.21223_BMWFX2",NA
"IPM of insect pests - Russian Wheat Aphid project: Evaluation of wild relatives for Russian wheat aphid resistance experiment 2003","El Bouhssini, Mustapha","2024","ICARDA","Syria","wheat","https://hdl.handle.net/20.500.11766.1/FK2/DP2OTC","hdl_20.500.11766.1_FK2_DP2OTC",NA
"Urban Food Markets in Africa incentivizing food safety (Pull-Push Project) - Assessment of pesticide residues in vegetables produced in central and eastern Ethiopia","Getachew, Dinede","2022","ICARDA","Ethiopia","tomato, cabbage","https://hdl.handle.net/20.500.11766.1/FK2/ZFUA66","hdl_20.500.11766.1_FK2_ZFUA66",NA
"Baseline survey on extension services influence on smallholder farmer's adoption of improved wheat variety","Yitayew, Asresu","2019","ICARDA","Ethiopia","wheat","https://hdl.handle.net/20.500.11766.1/FK2/NCCYHG","hdl_20.500.11766.1_FK2_NCCYHG",NA
"Effects of community-based intervention of non-government organization on gender equity in agriculture and food systems in selected areas of Kishoreganj district","Lecoutere, Els","2023","ICARDA","Bangladesh",NA,"https://hdl.handle.net/20.500.11766.1/FK2/ZGKYC2","hdl_20.500.11766.1_FK2_ZGKYC2",NA
"Durum wheat multi-location data of CWR-derived lines conducted in Morocco during 2022-23 season","El Haddad, Noureddine","2023","ICARDA","Morocco","wheat","https://hdl.handle.net/20.500.11766.1/FK2/YIZDLA","hdl_20.500.11766.1_FK2_YIZDLA",NA
"Adoption of dual-purpose groundnut varieties in Odisha","Teufel, Nils","2023","ICARDA","India","groundnut","https://hdl.handle.net/20.500.11766.1/FK2/TEE5QY","hdl_20.500.11766.1_FK2_TEE5QY",NA
"IPM of insect pests - Leafminer project: Selection of spring chickpea for resistance to leafminer experiment 2005","El Bouhssini, Mustapha","2023","ICARDA","Syria","chickpea","https://hdl.handle.net/20.500.11766.1/FK2/OOGDVM","hdl_20.500.11766.1_FK2_OOGDVM",NA
"IPM of insect pests - Sunn pest project: Screening of synthetics for resistance to Sunn pest experiment 2002","El Bouhssini, Mustapha","2023","ICARDA","Syria","wheat","https://hdl.handle.net/20.500.11766.1/FK2/QCC07A","hdl_20.500.11766.1_FK2_QCC07A",NA
